essay_id_comp,Last Name,Assignment,Class,Overall:Score,Writing & Review:R1,Writing & Review:R2,Writing & Review:R3,Writing & Review:R4,Writing & Review:R5,Writing & Review:R6,Writing & Review:Words
7EE7318E1EF2,Student,facial action coding,Facial action coding,9.00/18,2.01/3,0.99/3,0.99/3,0.99/3,2.01/3,2.01/3,395
89BA72AAF3E4,Student,facial action coding,Facial action coding,7.98/18,2.01/3,0.99/3,0.99/3,0.99/3,0.99/3,2.01/3,274
8A59AC8E36FD,Student,facial action coding,Facial action coding,5.94/18,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,467
8BDD04F754BF,Student,facial action coding,Facial action coding,9.00/18,0.99/3,2.01/3,2.01/3,2.01/3,0.99/3,0.99/3,236
8DFB375E3159,Student,facial action coding,Facial action coding,5.94/18,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,355
8E2174964041,Student,facial action coding,Facial action coding,6.96/18,2.01/3,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,211
93203D30E46D,Student,facial action coding,Facial action coding,5.94/18,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,377
93C1BA7B565E,Student,facial action coding,Facial action coding,6.96/18,2.01/3,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,464
946C874A9CCD,Student,facial action coding,Facial action coding,9.00/18,2.01/3,0.99/3,0.99/3,2.01/3,0.99/3,2.01/3,751
951F417BA64F,Student,facial action coding,Facial action coding,5.94/18,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,252
95D641A74BF1,Student,facial action coding,Facial action coding,5.94/18,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,366
989E5AA1D1FD,Student,facial action coding,Facial action coding,5.94/18,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,303
9C0B44764ED8,Student,facial action coding,Facial action coding,12.06/18,2.01/3,2.01/3,2.01/3,2.01/3,2.01/3,2.01/3,207
9FAD898993FD,Student,facial action coding,Facial action coding,7.98/18,2.01/3,0.99/3,0.99/3,2.01/3,0.99/3,0.99/3,337
A1A778253D39,Student,facial action coding,Facial action coding,5.94/18,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,335
A544DDC6FC70,Student,facial action coding,Facial action coding,12.06/18,2.01/3,2.01/3,2.01/3,2.01/3,2.01/3,2.01/3,290
A7B27F6C11A9,Student,facial action coding,Facial action coding,10.02/18,2.01/3,0.99/3,0.99/3,2.01/3,2.01/3,2.01/3,636
AF744782945F,Student,facial action coding,Facial action coding,5.94/18,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,533
AFD2F21F9158,Student,facial action coding,Facial action coding,5.94/18,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,225
B07E96B9767C,Student,facial action coding,Facial action coding,10.02/18,2.01/3,2.01/3,2.01/3,0.99/3,0.99/3,2.01/3,752
B3F446BF0A11,Student,facial action coding,Facial action coding,6.96/18,2.01/3,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,336
B709F976724E,Student,facial action coding,Facial action coding,5.94/18,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,777
B859B86268ED,Student,facial action coding,Facial action coding,5.94/18,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,359
B8CC1DAB4D12,Student,facial action coding,Facial action coding,4.95/18,0.99/3,0.99/3,0.99/3,0.00/3,0.99/3,0.99/3,199
C21E1457C1D4,Student,facial action coding,Facial action coding,5.94/18,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,343
C44A702C460F,Student,facial action coding,Facial action coding,12.06/18,2.01/3,2.01/3,2.01/3,2.01/3,2.01/3,2.01/3,278
C5A37127657D,Student,facial action coding,Facial action coding,4.95/18,0.99/3,0.99/3,0.00/3,0.99/3,0.99/3,0.99/3,324
C9987E52A40C,Student,facial action coding,Facial action coding,5.94/18,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,188
CC02E6A858C4,Student,facial action coding,Facial action coding,10.02/18,2.01/3,0.99/3,0.99/3,2.01/3,2.01/3,2.01/3,206
CC6D67F4D925,Student,facial action coding,Facial action coding,5.94/18,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,380
CC74792CC418,Student,facial action coding,Facial action coding,5.94/18,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,363
D019BB590AB3,Student,facial action coding,Facial action coding,5.94/18,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,253
D1BB1EA6F163,Student,facial action coding,Facial action coding,6.96/18,2.01/3,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,159
D2887A8C6CE2,Student,facial action coding,Facial action coding,6.96/18,0.99/3,0.99/3,2.01/3,0.99/3,0.99/3,0.99/3,400
DA486689B3EF,Student,facial action coding,Facial action coding,5.94/18,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,436
DA61A6F47A15,Student,facial action coding,Facial action coding,5.94/18,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,461
DCCF6739067A,Student,facial action coding,Facial action coding,6.96/18,2.01/3,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,527
E1991EA669CA,Student,facial action coding,Facial action coding,6.96/18,2.01/3,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,197
E1A0A8C51458,Student,facial action coding,Facial action coding,9.00/18,2.01/3,0.99/3,0.99/3,0.99/3,2.01/3,2.01/3,346
E262AB2DDDF9,Student,facial action coding,Facial action coding,12.06/18,2.01/3,2.01/3,2.01/3,2.01/3,2.01/3,2.01/3,219
E3E4C29C6F23,Student,facial action coding,Facial action coding,9.00/18,2.01/3,0.99/3,0.99/3,0.99/3,2.01/3,2.01/3,546
E4F9AEC51ECF,Student,facial action coding,Facial action coding,7.98/18,2.01/3,0.99/3,0.99/3,0.99/3,0.99/3,2.01/3,329
EA2BAEFCE4F2,Student,facial action coding,Facial action coding,5.94/18,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,152
EB51FF23A9FE,Student,facial action coding,Facial action coding,12.06/18,2.01/3,2.01/3,2.01/3,2.01/3,2.01/3,2.01/3,486
EC9B3F68ECED,Student,facial action coding,Facial action coding,9.00/18,2.01/3,0.99/3,0.99/3,2.01/3,0.99/3,2.01/3,321
EFA46BC5A89A,Student,facial action coding,Facial action coding,7.98/18,2.01/3,0.99/3,0.99/3,0.99/3,0.99/3,2.01/3,278
F1AFDB5CEB25,Student,facial action coding,Facial action coding,5.94/18,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,198
F497369C41C2,Student,facial action coding,Facial action coding,12.06/18,2.01/3,2.01/3,2.01/3,2.01/3,2.01/3,2.01/3,614
F7396D2A25A0,Student,facial action coding,Facial action coding,9.00/18,2.01/3,0.99/3,0.99/3,2.01/3,0.99/3,2.01/3,294
FBC1CA161C5F,Student,facial action coding,Facial action coding,5.94/18,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,504
FCF3609BF4E8,Student,facial action coding,Facial action coding,5.94/18,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,0.99/3,226
FFD97A99CEBA,Student,facial action coding,Facial action coding,1.98/18,0.99/3,0.99/3,0.00/3,0.00/3,0.00/3,0.00/3,246
